shimmerLocal_sma;logHNR_sma;pcm_RMSenergy_sma
1.949772e-001;6.232871e+000;2.448781e-003
1.375960e-001;1.103057e+001;3.492809e-003
8.043752e-002;1.498687e+001;4.537954e-003
1.015385e-002;1.970934e+001;4.603569e-003
1.817691e-002;2.062815e+001;4.785330e-003
2.505285e-002;2.087272e+001;5.088322e-003
6.179843e-002;1.947144e+001;5.549390e-003
5.401485e-002;2.053761e+001;6.018663e-003
6.367434e-002;2.011719e+001;6.149713e-003
4.675497e-002;2.026610e+001;6.004867e-003
6.918298e-002;2.024886e+001;5.790323e-003
5.033809e-002;2.137350e+001;5.750150e-003
3.148983e-002;2.249040e+001;5.793214e-003
1.498611e-002;2.305755e+001;5.922810e-003
1.855129e-002;2.287914e+001;5.997945e-003
2.568409e-002;2.262991e+001;5.854645e-003
3.189763e-002;2.207766e+001;5.487988e-003
3.271409e-002;1.968236e+001;4.959105e-003
2.996632e-002;1.848888e+001;4.414425e-003
1.573431e-002;1.658560e+001;3.914813e-003
3.917019e-002;1.652013e+001;3.507241e-003
7.052668e-002;1.528477e+001;3.235261e-003
9.246415e-002;1.376049e+001;3.027426e-003
6.494675e-002;1.352055e+001;2.820394e-003
3.869737e-002;1.298558e+001;2.542789e-003
1.058732e-001;1.121967e+001;2.078184e-003
1.804101e-001;8.155014e+000;2.476434e-003
1.829847e-001;5.765944e+000;3.102394e-003
2.095018e-001;3.234826e+000;4.042184e-003
2.138571e-001;2.925168e+000;4.297081e-003
2.674879e-001;3.843073e+000;4.561132e-003
2.247904e-001;6.591822e+000;4.782785e-003
2.299373e-001;6.794989e+000;4.799721e-003
2.126087e-001;5.636265e+000;4.180871e-003
2.122780e-001;5.084085e+000;3.110455e-003
1.933703e-001;3.502952e+000;2.470517e-003
3.010563e-001;7.084095e-001;2.574774e-003
3.848275e-001;6.320009e-001;3.290138e-003
4.760013e-001;1.914041e+000;3.794226e-003
4.074894e-001;3.685245e+000;4.108612e-003
3.384238e-001;2.174958e+000;4.230950e-003
2.693582e-001;6.490550e+000;4.250197e-003
1.896607e-001;9.379117e+000;4.404500e-003
1.283992e-001;1.538191e+001;4.643322e-003
