@relation smile

@attribute shimmerLocal_sma_max numeric
@attribute shimmerLocal_sma_min numeric
@attribute shimmerLocal_sma_range numeric
@attribute shimmerLocal_sma_amean numeric
@attribute shimmerLocal_sma_variance numeric
@attribute shimmerLocal_sma_skewness numeric
@attribute shimmerLocal_sma_kurtosis numeric
@attribute logHNR_sma_max numeric
@attribute logHNR_sma_min numeric
@attribute logHNR_sma_range numeric
@attribute logHNR_sma_amean numeric
@attribute logHNR_sma_variance numeric
@attribute logHNR_sma_skewness numeric
@attribute logHNR_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_min numeric
@attribute pcm_RMSenergy_sma_range numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_variance numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute emotion {0,1,2,3}

@data
6.968498e-001,1.245055e-002,6.843992e-001,1.669231e-001,1.651298e-002,1.319663e+000,4.518478e+000,2.135805e+001,-9.773038e+000,3.113108e+001,7.540943e+000,3.374276e+001,-1.609757e-001,2.527737e+000,1.039121e-002,4.651075e-004,9.926098e-003,2.392674e-003,2.095680e-006,1.908135e+000,8.841714e+000,unknown
7.212020e-001,3.114488e-002,6.900571e-001,2.607329e-001,1.864670e-002,1.506674e+000,5.202110e+000,1.385823e+001,-9.931956e+000,2.379018e+001,2.079092e+000,2.262446e+001,-1.814930e-001,2.656653e+000,1.461954e-002,4.072840e-004,1.421226e-002,1.647157e-003,5.165222e-006,3.643453e+000,1.779669e+001,unknown
7.807018e-001,5.830904e-003,7.748709e-001,2.294325e-001,3.160461e-002,1.104335e+000,3.666157e+000,2.257991e+001,-7.059528e+000,2.963944e+001,8.143373e+000,5.657304e+001,-1.955677e-001,1.834078e+000,1.525523e-002,6.187918e-004,1.463644e-002,4.149678e-003,7.668848e-006,8.614206e-001,4.095543e+000,unknown
8.914285e-001,2.894356e-003,8.885342e-001,2.489379e-001,2.366329e-002,2.027123e+000,7.839317e+000,1.734603e+001,-8.813207e+000,2.615924e+001,3.190739e+000,2.085857e+001,4.644035e-001,3.267446e+000,1.320323e-002,4.151899e-004,1.278804e-002,1.635147e-003,4.598720e-006,3.134745e+000,1.387468e+001,unknown
8.436292e-001,7.936508e-003,8.356926e-001,2.135075e-001,2.481806e-002,1.518078e+000,5.414191e+000,1.274232e+001,-5.514967e+000,1.825728e+001,4.147311e+000,1.300800e+001,2.684390e-002,2.215487e+000,2.150105e-003,4.819019e-004,1.668203e-003,1.074208e-003,9.578920e-008,1.120728e-001,2.550538e+000,unknown
7.575027e-001,3.937363e-002,7.181291e-001,2.964108e-001,2.566375e-002,7.517095e-001,2.673901e+000,1.426933e+001,-1.019787e+001,2.446720e+001,3.476694e-001,2.924346e+001,5.732723e-001,2.733955e+000,1.767571e-003,4.033260e-004,1.364245e-003,9.193945e-004,1.037370e-007,7.266526e-001,2.539193e+000,unknown
7.226697e-001,3.460417e-002,6.880655e-001,2.212898e-001,2.034805e-002,1.242125e+000,4.376997e+000,1.074286e+001,-9.903907e+000,2.064677e+001,7.980555e-001,1.978571e+001,-3.328830e-001,2.606904e+000,1.699165e-003,3.926941e-004,1.306471e-003,1.015464e-003,9.223715e-008,2.064029e-001,2.010607e+000,unknown
9.755322e-001,1.293464e-003,9.742388e-001,1.952697e-001,3.289477e-002,1.392053e+000,4.891700e+000,2.960988e+001,-9.589547e+000,3.919942e+001,1.015007e+001,7.759980e+001,3.036667e-001,1.866162e+000,1.656824e-002,4.393952e-004,1.612884e-002,5.141528e-003,1.000440e-005,3.835928e-001,2.459253e+000,unknown
1.000000e+000,9.925592e-003,9.900744e-001,2.339275e-001,4.931728e-002,1.237355e+000,3.805562e+000,2.862662e+001,-9.389405e+000,3.801603e+001,8.842430e+000,6.681593e+001,3.335740e-001,1.943896e+000,1.303381e-002,4.370533e-004,1.259675e-002,4.270647e-003,5.216734e-006,7.072650e-001,3.999256e+000,unknown
9.940956e-001,4.374453e-003,9.897211e-001,1.882630e-001,3.621905e-002,1.515564e+000,4.845729e+000,2.711743e+001,-9.200928e+000,3.631836e+001,1.159009e+001,6.728589e+001,-1.119520e-001,1.759658e+000,4.323282e-002,5.128870e-004,4.271994e-002,6.376998e-003,2.055260e-005,1.815333e+000,1.121252e+001,unknown
5.847568e-001,3.191040e-003,5.815657e-001,1.277119e-001,1.300254e-002,1.249413e+000,4.130725e+000,2.705148e+001,-7.125498e+000,3.417698e+001,1.339205e+001,4.909172e+001,-2.985830e-001,2.143058e+000,2.975672e-001,5.223418e-004,2.970449e-001,1.107491e-002,4.939013e-004,1.140610e+001,1.405048e+002,unknown
8.861985e-001,2.046405e-003,8.841521e-001,1.423723e-001,2.262504e-002,1.948261e+000,6.929060e+000,3.351659e+001,-6.390742e+000,3.990733e+001,1.381881e+001,7.284413e+001,-1.968820e-001,2.182015e+000,2.701945e-002,4.727750e-004,2.654667e-002,8.253314e-003,2.771281e-005,7.969344e-001,3.855353e+000,unknown
8.944173e-001,8.007311e-003,8.864101e-001,1.284371e-001,1.368819e-002,2.318055e+000,1.101458e+001,2.387181e+001,-4.883966e+000,2.875577e+001,1.218892e+001,3.838136e+001,-2.771569e-001,2.218936e+000,4.583895e-002,5.040259e-004,4.533492e-002,6.740056e-003,2.001456e-005,3.328393e+000,2.814289e+001,unknown
8.503401e-001,1.084929e-002,8.394908e-001,1.381181e-001,1.636505e-002,1.687334e+000,6.387499e+000,2.657300e+001,-3.438208e+000,3.001121e+001,1.183903e+001,4.491293e+001,-3.404466e-001,1.937355e+000,1.340855e-002,5.719631e-004,1.283659e-002,3.426583e-003,3.497879e-006,1.241101e+000,6.396138e+000,unknown
6.987736e-001,8.631042e-003,6.901425e-001,1.329425e-001,1.430980e-002,1.344287e+000,4.601402e+000,2.568395e+001,-6.320785e+000,3.200474e+001,1.335953e+001,6.264237e+001,-4.061041e-001,1.942092e+000,2.939879e-002,4.201068e-004,2.897868e-002,6.031850e-003,1.779873e-005,1.468954e+000,7.675341e+000,unknown
9.320319e-001,8.346903e-003,9.236850e-001,1.223555e-001,1.263238e-002,2.443841e+000,1.210077e+001,2.337590e+001,-6.773333e+000,3.014923e+001,1.220817e+001,4.027571e+001,-4.459010e-001,2.230213e+000,1.112442e-002,4.031338e-004,1.072129e-002,4.041278e-003,4.269884e-006,4.602015e-001,3.092169e+000,unknown
5.349706e-001,5.632021e-003,5.293385e-001,2.182496e-001,1.411611e-002,4.071940e-001,3.057791e+000,2.106059e+001,-1.311046e+001,3.417105e+001,4.692560e+000,5.466138e+001,2.032567e-001,2.888788e+000,2.619127e-002,6.148941e-004,2.557638e-002,8.428430e-003,4.536818e-005,5.400855e-001,2.202868e+000,unknown
1.000000e+000,7.596735e-003,9.924033e-001,2.486526e-001,4.658043e-002,1.668475e+000,6.016672e+000,2.513046e+001,-9.746998e+000,3.487745e+001,8.533059e+000,8.559664e+001,2.418763e-001,1.766756e+000,3.515306e-002,4.149639e-004,3.473810e-002,5.577811e-003,2.407315e-005,2.384049e+000,1.383241e+001,unknown
7.662691e-001,1.140011e-001,6.522681e-001,2.465767e-001,1.437301e-002,2.431441e+000,1.017034e+001,1.159456e+001,-1.086344e+001,2.245800e+001,2.619600e+000,2.207730e+001,-5.255110e-001,2.902434e+000,1.361027e-002,4.672921e-004,1.314298e-002,3.522797e-003,1.543264e-005,1.133347e+000,2.971094e+000,unknown
8.680305e-001,8.725298e-002,7.807775e-001,3.127339e-001,2.761081e-002,1.049694e+000,3.696729e+000,1.185954e+001,-4.715630e+000,1.657517e+001,4.407496e+000,1.598909e+001,-8.774578e-003,2.146238e+000,5.697410e-003,4.885606e-004,5.208849e-003,1.584016e-003,1.548640e-006,1.607688e+000,4.986455e+000,unknown
5.306701e-001,7.164866e-002,4.590214e-001,2.357676e-001,7.052238e-003,9.639083e-001,4.134449e+000,6.744188e+000,-9.085824e+000,1.583001e+001,3.054612e-001,1.269737e+001,-6.308791e-001,2.877216e+000,3.038814e-003,4.399266e-004,2.598887e-003,8.798952e-004,2.275631e-007,2.632357e+000,1.061662e+001,unknown
4.990424e-001,7.277892e-002,4.262635e-001,2.330307e-001,8.165064e-003,9.577038e-001,3.621170e+000,8.086224e+000,-1.084617e+001,1.893239e+001,-4.305025e-001,1.252941e+001,-6.642885e-001,3.342043e+000,1.797835e-003,4.542634e-004,1.343572e-003,8.348799e-004,1.130727e-007,1.158088e+000,3.291004e+000,unknown
